"source","relation","target","source_id","source_tags","target_id","target_tags"
"Gihon","river_in","Cush","9e2504b7-e4f3-41c5-9c19-2d72ebc9ee50","River","38096e3d-cced-4c3d-8719-ec433a88ff7a",""
"Mehujael","father_of","Methushael","5dbc1012-fc01-4bdb-ab06-581c94a785a2","","a061cacc-3191-4e59-8d4b-c52ebcffc8f1",""
"Enoch","father_of","Irad","b0b62d37-3e54-461f-b96b-ade87d3b200e","","522663b0-4665-4d5a-8a88-9e68e0551a9f",""
"Lamech","father_of","Noah","ace2c4df-1f34-47b4-b83a-1b81cd6b6a85","","0f5ab1e6-aaa5-4952-99a5-bf96381f3a19",""
"Ham","father_of","Cush","aa6816fb-5790-4fd5-9beb-a25f5f6a7364","","7ba21212-0e8e-4569-9f12-4502320127f7",""
"Ham","father_of","Mizraim","aa6816fb-5790-4fd5-9beb-a25f5f6a7364","","6e1a4d77-7013-42ca-8ad1-0e264f9fcbff",""
"Ham","father_of","Canaan","aa6816fb-5790-4fd5-9beb-a25f5f6a7364","","6fb31340-2867-43c9-9797-11b4d0483f4b",""
"Shem","father","Elam","3ca5a0c0-8869-4f5c-bbaa-8ec4280119c2","","1e8e95ae-dff7-4574-85c2-268adb344527",""
"Shem","father_of","Asshur","3ca5a0c0-8869-4f5c-bbaa-8ec4280119c2","","e5fdef2c-6ff6-4acb-bcbc-b2c51d45e851",""
"Shem","father_of","Arpachshad","3ca5a0c0-8869-4f5c-bbaa-8ec4280119c2","","d15919ed-34f4-464c-9268-5a153ac90342",""
"Shem","father_of","Aram","3ca5a0c0-8869-4f5c-bbaa-8ec4280119c2","","1816ade5-1b06-4b40-a425-8f4050499a3e",""
"Jared","father_of","Enoch","21f80d50-1fe5-4986-8702-83f2770731d4","","073834be-aa81-49aa-bcd7-890fcf9bd4f4",""
"Hiddekel","river_in","Assyria","00491e8c-0699-486e-9146-da308639d073","River","c6538779-85c3-499d-b21d-b3abe57d033a",""
"Cush","father_of","Nimrod","150e6af6-0f00-4b4f-b1e7-e690e3956452","","b0bb415a-c39b-4451-8436-7ccff203e6b4",""
"Pishon","river_in","Havilah","73b5f0a0-09aa-49aa-9cfa-84de5e13e192","River","f0e8178e-de36-4715-af4f-d45084eaa432",""
"Methushael","father_of","Lamech","70f98f0f-5d88-46ec-befe-724fd7f34ba5","","28c6ee56-5b01-42e1-8cb1-e901d576aa71",""
"Seth","father_of","Enosh","4689ed78-46a7-4126-a546-a641a648ce8d","","5381d060-00d9-4f43-b483-141ce25023cb",""
"Canaanites","lived_in","Sidon","914d57f9-c1fa-48b5-83af-485fe3c16fe8","AncientCommunity","c8ae759e-fc66-47fd-a06d-de05599b9506",""
"Canaanites","lived_in","Gerar","914d57f9-c1fa-48b5-83af-485fe3c16fe8","AncientCommunity","bbf00fff-dd63-46bb-b73a-41c0526072bf",""
"Canaanites","lived_in","Gaza","914d57f9-c1fa-48b5-83af-485fe3c16fe8","AncientCommunity","ad0d41c3-fecf-477f-829b-c16070ef563c",""
"Japheth","father_of","Gomer","fa713c1e-8419-4362-85d3-082f671e3582","","53c77a4d-ad17-4e77-9ba6-a620207f47dc",""
"Japheth","father_of","Madai","fa713c1e-8419-4362-85d3-082f671e3582","","6ebc76bd-08eb-49a5-98c2-1dbaf293c1f2",""
"Japheth","father_of","Javan","fa713c1e-8419-4362-85d3-082f671e3582","","3e51e2f0-5fe0-4aec-b6aa-49a5439dd3f2",""
"Japheth","father_of","Tubal","fa713c1e-8419-4362-85d3-082f671e3582","","84e40b7e-9c36-4095-8496-c0fbd745944b",""
"Japheth","father_of","Meshech","fa713c1e-8419-4362-85d3-082f671e3582","","1a2befd2-fe2e-4f37-bb6a-27d799e7801d",""
"Noah","father_of","Shem","b914cb6c-84c1-4f3e-851a-60c5fe07f5f3","","57603adb-965a-4f76-8088-7aee348599cb",""
"Noah","father_of","Japheth","b914cb6c-84c1-4f3e-851a-60c5fe07f5f3","","5b958e4e-763b-421b-beb0-b96bf70d4101",""
"Noah","father_of","Ham","b914cb6c-84c1-4f3e-851a-60c5fe07f5f3","","c5f5e606-452f-41cd-84a3-8b271ed5c980",""
"Cain","father_of","Enoch","dba88e3b-83ca-4608-8467-13c90353002f","","e07eb066-05ea-4734-84a4-4c61d5d3708e",""
"Adam","father_of","Seth","16950227-497c-4133-a25c-c1c2bc4d9b2b","","6dcd341d-844d-4292-9b0d-471dac9386f9",""
"Adam","father_of","Abel","16950227-497c-4133-a25c-c1c2bc4d9b2b","","bd2e0941-15aa-45e3-be94-67fdc876b251",""
"Adam","father_of","Cain","16950227-497c-4133-a25c-c1c2bc4d9b2b","","622502c5-e9bf-43a6-944d-8a23204033e5",""
"Irad","father_of","Mehujael","5e1b9bb0-04d0-430d-81a8-1624c99a3e2a","","f4c56c2b-9075-4efc-9337-bb16b4680be7",""
"Gomer","father_of","Ashkenaz","60b3bb63-5c61-495e-ab90-3d21ba9f9870","","71165a53-b9ef-47fe-8340-21fac4adaced",""
"Gomer","father_of","Riphath","60b3bb63-5c61-495e-ab90-3d21ba9f9870","","974daf52-26cb-47a5-8b48-8d564e8be6e4",""
"Lamech","father_of","Jabal","ef924728-a91a-4b31-b78e-ab98e5c71cc0","","3b06bec1-0533-4f5d-a973-871f4eb64297",""
"Lamech","father_of","Jubal","ef924728-a91a-4b31-b78e-ab98e5c71cc0","","5d76f87e-9d58-45fe-b815-e3787f9c1d48",""
"Lamech","father_of","Tubal","ef924728-a91a-4b31-b78e-ab98e5c71cc0","","50b7092e-8107-4f8e-8d55-afef933bfbde",""
"Methuselah","father_of","Lamech","3749f7b8-4489-4e08-a5a4-c98b7a1f002d","","445dc85f-8d2f-47ac-88cd-7653cff982b6",""
"Mizraim","father_of","Ludim","63a750e6-63c7-4904-9d23-52fa9add0012","","e09cc1ea-8f4e-47f9-aa34-c7d4bd4cd3cd",""
"Mizraim","father_of","Anamim","63a750e6-63c7-4904-9d23-52fa9add0012","","aad73d4a-4ba7-4972-b255-891821ed39f8",""
